Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,SerialPassage_BatchNumber,AgeGroup,PassageNumber,Staining,Drug
B05,2,5,20,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,21,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,22,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,23,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,24,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,25,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,26,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,27,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,28,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,29,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,30,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,31,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,32,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,33,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,34,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,35,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,36,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,37,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,38,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,39,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,40,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,1,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,2,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,3,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,4,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,5,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,6,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,7,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,8,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,9,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,10,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,11,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,12,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,13,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,14,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,15,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,16,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,17,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,18,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,19,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,20,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,21,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,22,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,23,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
B06,2,6,24,SPB6 AG0 P6,6,0,6,LAMP1-488 + MitoRed + WGA-CF640R,None
