,Plate_Name,Passage_Lineage,Passage_Number,Lineage,AllGroups,Doubling_Time_Trees,Exponential_Doubling_Rate_Trees,Selected_Times_Trees,Selected_Cell_Density_Trees,Doubling_Time_RANSAC,Exponential_Doubling_Rate_RANSAC,Selected_Times_RANSAC,Int_Plate,Int_Passage
28,Plate 5,P23 LIN7-0C-b3-s1,P23,LIN7-0C-b3-s1,P22-24,37.476247063443274,0.026683568349496336,[0.000e+00 1.000e-02 2.000e-02 ... 6.324e+01 6.325e+01 6.326e+01],"[16.12704327 16.13002635 16.13300998 ... 51.94377344 51.95338166
 51.96299166]",38.61834969200467,0.02589442604293975,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",5,23
39,Plate 6,P25 LIN7-0C-b3-s1,P25,LIN7-0C-b3-s1,P25-27,58.74681103742067,0.017022200564436048,[10.01 10.02 10.03 ... 71.97 71.98 71.99],"[ 7.85199923  7.85292573  7.85385235 ... 16.31079932 16.31272392
 16.31464876]",59.04624257784219,0.016935878666312663,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",6,25
48,Plate 7,P24 LIN7-0C-b3-s2,P24,LIN7-0C-b3-s2,P22-24,33.64313958416975,0.029723741968200084,[0.000e+00 1.000e-02 2.000e-02 ... 6.324e+01 6.325e+01 6.326e+01],"[ 9.82880999  9.83083522  9.83286087 ... 36.17061435 36.17806733
 36.18552184]",34.4308929229225,0.029043684758295826,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",7,24
19,Plate 4,P16 LIN8-0B-b2B-s1,P16,LIN8-0B-b2B-s1,P16-18,32.474656827516746,0.030793243029828422,[0.000e+00 1.000e-02 2.000e-02 ... 2.674e+01 2.675e+01 2.676e+01],"[55.4367217  55.44855551 55.46039186 ... 98.10000864 98.12094959
 98.141895  ]",39.02091555089632,0.0256272818277589,[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34],4,16
37,Plate 6,P22 LIN8-0B-b2B-s1-ss1,P22,LIN8-0B-b2B-s1-ss1,P22-24,27.408557123848727,0.03648495597493092,[0.000e+00 1.000e-02 2.000e-02 ... 6.324e+01 6.325e+01 6.326e+01],"[12.32359651 12.32671348 12.32983123 ... 60.99673279 61.01216048
 61.02759207]",28.089419266281084,0.035600593608583905,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",6,22
49,Plate 7,P25 LIN8-0B-b2B-s1-ss1,P25,LIN8-0B-b2B-s1-ss1,P25-27,38.682644181372254,0.025851386872915817,[0.000e+00 1.000e-02 2.000e-02 ... 5.724e+01 5.725e+01 5.726e+01],"[ 9.80972394  9.81148188  9.81324014 ... 27.35904414 27.36394699
 27.36885073]",41.80295859776524,0.023921751798052383,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",7,25
26,Plate 5,P19 LIN8-0B-b2B-s1-ss1,P19,LIN8-0B-b2B-s1-ss1,P19-21,23.77074083302324,0.04206852478954972,[0.000e+00 1.000e-02 2.000e-02 ... 6.074e+01 6.075e+01 6.076e+01],"[12.51227262 12.51592169 12.51957182 ... 73.542899   73.564347
 73.58580126]",25.3688861502337,0.03941836445155823,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",5,19
50,Plate 7,P25 LIN8-0B-b2B-s1-ss2,P25,LIN8-0B-b2B-s1-ss2,P25-27,47.19213555127272,0.021189971344134924,[ 9.26  9.27  9.28 ... 71.97 71.98 71.99],"[10.78294711 10.784531   10.78611512 ... 27.08651227 27.09049097
 27.09447025]",47.32191894434913,0.021131856490773468,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",7,25
38,Plate 6,P22 LIN8-0B-b2B-s1-ss2,P22,LIN8-0B-b2B-s1-ss2,P22-24,30.726017842960452,0.032545707846391395,[12.76 12.77 12.78 ... 71.97 71.98 71.99],"[17.38948094 17.39340427 17.39732848 ... 66.12731074 66.14223006
 66.15715275]",31.72443334823268,0.03152144560072051,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",6,22
27,Plate 5,P19 LIN8-0B-b2B-s1-ss2,P19,LIN8-0B-b2B-s1-ss2,P19-21,22.943202222632113,0.0435858948675246,[0.000e+00 1.000e-02 2.000e-02 ... 6.124e+01 6.125e+01 6.126e+01],"[ 9.64891765  9.65183316  9.65474956 ... 61.37449403 61.39303895
 61.41158947]",23.92401400475393,0.04179900579398133,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",5,19
