,filter_type,columns,rows_initial,rows_removed,threshold,rows,AllGroups
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,791,0,min_compartments=0,791.0,Doxo
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,791,0,min_compartments=0,791.0,Doxo
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,791,6,Bottom threshold: 22768.0,765.0,Doxo
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,791,20,Top threshold: 1254046.5,765.0,Doxo
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,765,13,Bottom threshold: 9340.0,734.0,Doxo
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,765,18,Top threshold: 98385.75,734.0,Doxo
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,734,28,Bottom threshold: 1.9243336199484091,706.0,Doxo
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,706,10,Top threshold: 20.530685742771166,696.0,Doxo
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,696,1,Bottom threshold: 0.052827750156087594,695.0,Doxo
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,695,5,Top threshold: 2.5,690.0,Doxo
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,690,7,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,683.0,Doxo
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,683,0,Max Number Of Nuclei Neighbours: 1.0,683.0,Doxo
