Image_ID,Well_ID,Well,Row,Col,Field_ID,Field,PositionX,PositionY,PositionZ,PositionX (um),PositionX (pixels),PositionY (um),PositionY (pixels),PositionZ (um),PositionZ (pixels),min_bbox_PositionX (um),max_bbox_PositionX (um),min_bbox_PositionY (um),max_bbox_PositionY (um),bbox_coords
0202K1F3P3R4,0202,B02,2,2,F03,3,-0.001640163,0.002050204,1e-06,-1640.163,-17280.0,2050.204,21600.003,1.0,10.536,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P4R1,0202,B02,2,2,F03,3,-0.001640163,0.002050204,2e-06,-1640.163,-17280.0,2050.204,21600.003,2.0,21.071,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P4R2,0202,B02,2,2,F03,3,-0.001640163,0.002050204,2e-06,-1640.163,-17280.0,2050.204,21600.003,2.0,21.071,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P4R3,0202,B02,2,2,F03,3,-0.001640163,0.002050204,2e-06,-1640.163,-17280.0,2050.204,21600.003,2.0,21.071,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P4R4,0202,B02,2,2,F03,3,-0.001640163,0.002050204,2e-06,-1640.163,-17280.0,2050.204,21600.003,2.0,21.071,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P5R1,0202,B02,2,2,F03,3,-0.001640163,0.002050204,3e-06,-1640.163,-17280.0,2050.204,21600.003,3.0,31.607,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P5R2,0202,B02,2,2,F03,3,-0.001640163,0.002050204,3e-06,-1640.163,-17280.0,2050.204,21600.003,3.0,31.607,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P5R3,0202,B02,2,2,F03,3,-0.001640163,0.002050204,3e-06,-1640.163,-17280.0,2050.204,21600.003,3.0,31.607,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P5R4,0202,B02,2,2,F03,3,-0.001640163,0.002050204,3e-06,-1640.163,-17280.0,2050.204,21600.003,3.0,31.607,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P6R1,0202,B02,2,2,F03,3,-0.001640163,0.002050204,4e-06,-1640.163,-17280.0,2050.204,21600.003,4.0,42.142,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
