,filter_type,columns,rows_initial,rows_removed,threshold,rows,PlateNumber
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3045,14573,14573,Max Number Of Neighbours: 0.0,0.0,Plate 6
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3045,14573,0,Max Number Of Nuclei Neighbours: 0.0,14573.0,Plate 6
Initial_Dataset,Initial Dataset,3045,10617,0,"None,None",,Plate 7
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3045,10617,0,min_compartments=0,10617.0,Plate 7
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3045,10617,0,min_compartments=0,10617.0,Plate 7
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3045,10617,51,Bottom threshold: 14673.4,10530.0,Plate 7
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3045,10617,36,Top threshold: 1154459.7999999977,10530.0,Plate 7
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3045,10617,144,Bottom threshold: 7067.3,10427.0,Plate 7
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3045,10617,46,Top threshold: 89616.59999999995,10427.0,Plate 7
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3045,10617,70,Bottom threshold: 1.6164851817503756,10547.0,Plate 7
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3045,10617,131,Top threshold: 22.160058147992746,10486.0,Plate 7
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3045,10617,1,Bottom threshold: 0.02565103458205232,10616.0,Plate 7
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3045,10617,62,Top threshold: 2.5,10555.0,Plate 7
Cell_Neighbours_Filter,First Closest Neighbour distance < 0.025th percentile (97.5th closest distance) or == 0 (no neighbours),3045,10617,92,Min closest neighbour distance: 134.65146537199365,10525.0,Plate 7
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3045,10617,10617,Max Percent Touching: 0.0,0.0,Plate 7
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3045,10617,10617,Max Number Of Neighbours: 0.0,0.0,Plate 7
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3045,10617,0,Max Number Of Nuclei Neighbours: 0.0,10617.0,Plate 7
