,filter_type,columns,rows_initial,rows_removed,threshold,rows,AllGroups
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,970,22,Bottom threshold: 9340.0,928.0,P32-35
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,970,20,Top threshold: 98385.75,928.0,P32-35
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,970,27,Bottom threshold: 1.9243336199484091,943.0,P32-35
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,970,44,Top threshold: 20.530685742771166,926.0,P32-35
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,970,1,Bottom threshold: 0.033902376529490005,969.0,P32-35
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,970,7,Top threshold: 2.5,963.0,P32-35
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,970,22,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,948.0,P32-35
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,970,11,Max Percent Touching: 65.82167832167832,959.0,P32-35
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,970,13,Max Number Of Neighbours: 4.0,957.0,P32-35
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,970,0,Max Number Of Nuclei Neighbours: 1.0,970.0,P32-35
Initial_Dataset,Initial Dataset,3471,791,0,"None,None",,Doxo
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,791,0,min_compartments=0,791.0,Doxo
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,791,0,min_compartments=0,791.0,Doxo
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,791,6,Bottom threshold: 22768.0,765.0,Doxo
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,791,20,Top threshold: 1254046.5,765.0,Doxo
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,791,14,Bottom threshold: 9340.0,757.0,Doxo
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,791,20,Top threshold: 98385.75,757.0,Doxo
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,791,36,Bottom threshold: 1.9243336199484091,755.0,Doxo
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,791,56,Top threshold: 20.530685742771166,735.0,Doxo
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,791,1,Bottom threshold: 0.0379656889422478,790.0,Doxo
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,791,6,Top threshold: 2.5,785.0,Doxo
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,791,7,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,784.0,Doxo
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,791,4,Max Percent Touching: 65.82167832167832,787.0,Doxo
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,791,4,Max Number Of Neighbours: 4.0,787.0,Doxo
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,791,0,Max Number Of Nuclei Neighbours: 1.0,791.0,Doxo
