,AllGroups,Replicate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
32,P23-25,5,2814.0,17238.335296309397,6393.315157263502,2782.886217948718,5012.072647026552,6157.017666934387,7473.94544223389,9726.974498400265,13164.621197646366,16814.764890848342,20499.337036859408,24802.65001634382,28177.70688684629,31531.351359606397,35354.3046235941,82992.92718446603
33,P23-25,6,1145.0,15438.27033002834,5573.82472678175,1015.0523908857508,4744.670539533867,5814.22402096371,7383.309266047979,8833.646021263155,11580.10255730051,14910.774132091448,18662.266153187848,22234.076925041703,25500.505471038327,28021.9801072309,31144.091705813058,44101.71811105948
34,P23-25,4,2402.0,30521.31993815106,12005.830812782253,2158.3064406779663,6913.542257795711,9514.14206076364,12444.022249648251,15713.204068091745,22436.15280244965,29332.71102150728,37691.713704886504,46429.002999362594,52388.13413078067,57647.52087306437,63854.76876731378,84337.22794548652
35,P23-25,7,535.0,43486.04142150358,19534.687630533143,3564.9592041800643,15385.630083533268,17298.344174750728,19467.38726888283,22775.045034699175,31297.636100865373,39767.52004950495,51720.67616636658,67915.98300650416,78356.76559778905,92308.97458501208,109563.33651946702,182723.94896673388
36,P26-28,6,418.0,14982.3818523461,5087.537783973384,2227.074701143451,5004.211530872674,7092.30625204206,8394.864580065427,9626.876194176768,11572.844672138126,14172.20751893744,17522.556583711958,21668.163607619044,24079.86749549892,27534.387500070246,29018.267444214453,39566.15410613398
37,P26-28,7,498.0,27695.06527372271,9603.69778596804,3739.532823741007,11338.729371364729,13858.772461676233,15485.259563118518,17493.152990727503,20615.33565178839,26336.442650133296,32639.167720820293,40426.477726138146,45313.930237202774,51718.37898012485,59747.45108654431,64856.6709453822
38,P26-28,5,44.0,14469.295342993068,5374.571540652287,1929.7556330472105,4098.855530402859,7005.912176151833,7440.816695555787,7957.10824502244,11274.462743297849,13951.398319970707,17870.752043763197,20824.688040777713,23462.031753961073,24439.0183683411,28197.395838642686,30981.767340275328
39,P29+,5,199.0,11600.719148836306,4801.551184475214,946.4670009328358,1228.86185159208,3786.869410338507,5593.493351194997,6862.414290167886,8902.238122066437,10838.201883561644,13500.152136653818,16193.515319366788,20850.042635647435,23710.87363837252,29665.7525303427,36340.28397385103
40,P29+,6,6.0,11929.507123267855,5586.556230451596,6468.122441978987,6530.4973146568655,6624.059623673684,6779.996805368381,7091.871168757774,8034.052615389821,9779.713025015251,16528.561021588856,18916.937176030544,19118.04429550006,19218.597855234824,19278.929991075678,19319.151414969583
41,P29+,7,58.0,26131.890420558095,10999.903399271523,1634.489806866953,5866.104181625826,9883.579058051304,13700.932093244426,15214.48479613012,19792.51268495219,23707.6295743957,30221.418072021886,40295.87997551309,46088.37491668887,52869.803843234615,59141.26384884659,64269.23025056366
42,Doxo,5,104.0,10468.355090269404,3979.8189803028827,1065.7572119291403,1546.349224864539,3411.121956540659,4814.435474781629,6328.01136465525,8310.222167216722,9892.705639344262,12564.86631102892,15309.95513836945,17488.54824954392,18318.3516441303,22482.850490456163,25292.75343642612
43,Doxo,6,354.0,12573.342682314636,5024.9708483097,1028.5761010964504,3437.779841889429,5510.490224184255,6587.415015903227,7514.110762311697,9168.109183710909,11534.175055824422,14714.366890403518,19127.686825354664,22511.345422430222,25112.26874429486,28889.867761455833,34922.00971223022
44,Doxo,7,136.0,25750.595522522744,11400.632425015583,1100.5351199690404,1216.2661593630098,1890.2934489256584,13749.184621287417,16288.486317029045,20328.503541807557,23930.684406521774,29061.348828716524,38379.31800385319,45639.28399975973,53504.09160649145,66792.62589864222,79587.36846689896
